variable,description,type,values_or_units
Membranipora_membranacea,measured within 25x25cm quadrat,numerical,percent cover (0-100); NA = not collected
Metridium_spp,measured within 25x25cm quadrat,numerical,percent cover (0-100); NA = not collected
Mitella_polymerus,measured within 25x25cm quadrat,numerical,percent cover (0-100); NA = not collected
Mopalia_muscosa,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Mytilus_californianus,measured within 25x25cm quadrat,numerical,percent cover (0-100); NA = not collected
Mytilus_edulis,measured within 25x25cm quadrat,numerical,percent cover (0-100); NA = not collected
Nemertea_spp,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Nereis_spp,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Nucella_emarginata,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Nucella_lamellose,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Nucella_ostrina,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Oedignathus_inermis,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Onchidella_spp,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Ophilitaspongia_pennata,measured within 25x25cm quadrat,numerical,percent cover (0-100); NA = not collected
Other_Pagurus_spp,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Pagurus_granosimanus,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Paranemertes_peregrina,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Petrolisthes_eromerius,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Phascolosoma_agassizii,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Pholadidae_spp,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Pisaster_brevispinus,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Pisaster_ochraceous,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Pododesmus_machrochisma,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Pugettia gracilis,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Pugettia_producta,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Pycnoclavella_stanleyi,measured within 25x25cm quadrat,numerical,percent cover (0-100); NA = not collected
Pycnopodia_helianthoides,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Rostanga_pulchra,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Schizoporella_uncornis,measured within 25x25cm quadrat,numerical,percent cover (0-100); NA = not collected
Sculpin_spp,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Semibalanus_cariosus,measured within 25x25cm quadrat,numerical,percent cover (0-100); NA = not collected
Serpula_vermicularis,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Sertularella_spp,measured within 25x25cm quadrat,numerical,percent cover (0-100); NA = not collected
Spirobis_spp,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Stronglyocentrotus_purpuratus,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Tectura_persona,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Tectura_scutum,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Tegula_funebralis,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Tonicella_lineata,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
Tunicates,measured within 25x25cm quadrat,numerical,percent cover (0-100); NA = not collected
white_sponge,measured within 25x25cm quadrat,binary,"presence/absence; 1/0, NA = not collected"
